,coef
EGFL6,-0.13616258215587096
TYROBP,-0.0987577043873639
GPR183,-0.09594252963867306
AZGP1,0.08977094713285524
LYZ,-0.0829850329414394
TNMD,-0.08168775081616633
TIMP1,-0.07528201954119941
MFAP5,-0.07411021748455429
CA3,0.07272398924156452
C1QB,-0.0708338765341052
F13A1,-0.06503486913853393
MMP9,-0.06407945143472697
CTSS,-0.06222871242333124
SPP1,-0.06160464874549279
CD52,-0.06112933087704775
LCP1,-0.059816392893035746
STMN2,-0.05840137549749386
SLC27A2,0.05825429721587597
FCER1G,-0.058150331675282385
SFRP4,-0.05656182358232781
EMP3,-0.0562928819276591
MPEG1,-0.05619284067429174
MXRA5,-0.05592610439813131
CPVL,-0.05564367746804149
PLA2G7,-0.0541727603021521
CD14,-0.05396478910716387
VSIG4,-0.053587108627697035
CCL8,-0.053447191415836905
MNDA,-0.05300558911604713
CHI3L1,-0.052903415462111074
CTGF,-0.0513169240931507
C1QA,-0.050483572239929504
C1QC,-0.05037455797471564
EGR2,-0.049099527947526554
EVI2B,-0.04869071823576356
GPR137B,-0.048467137817375536
DHRS9,-0.04770150259295065
CXCL2,-0.04698267660121989
RNASE6,-0.046601257912974765
